Leader	Brig	1	16	0
Leader	Schooner	2	29	2
Leander	Bark	1	23	1
LeBaron	Bark	1	21	1
LeBaron	Brig	1	18	1
LeBaron	Ship	1	0	23
Leon S. Swift	Schr	1	22	1
Leonidas	Bark	5	116	102
Leonidas	Brig 	1	22	1
Leonidas	brig	5	81	43
Leonidas	Brig	1	22	24
Leonidas	Ship	14	244	147
Leonora	Brig	2	52	0
Levant	Brig	1	22	1
Levi Starbuck	Ship	4	28	99
Lewis	Bark	1	0	29
Lewis	Ship	4	41	94
Lexington	Bark	3	0	71
Liberty	Schr	2	26	16
Linda Stewart	Bark	2	53	2
Live Oak	Bark	1	0	31
Lively	Schr	1	0	15
Liverpool II	Ship	3	58	98
Liverpool	Bark	4	105	2
Liverpool	Ship	6	32	139
Logan	Ship	8	71	135
London Packet I	Ship	3	42	95
London Packet II	Bark	3	73	81
London Packet II	Ship	2	45	0
Lorenzo	Ship	1	21	1
Lottie E. Cook	Schr	5	60	25
Louisa Beaton	Brig	2	15	2
Louisa	Bark	9	201	100
Louisiana	Ship	4	48	63
Louvre	Ship	1	32	1
Lowell	Ship	2	71	2
Lucas	Ship	1	2	26
Lucretia	Bark	1	32	1
Lucretia	Steam Bark	1	63	2
Lydia	Bark	5	138	5
Lydia	Ship	8	134	104
Lyra	Ship	1	21	1
Mabel	Bark	2	55	2
Mac	Schooner	2	26	2
Magnolia	Ship	5	48	145
Maine	Ship	7	137	57
Majestic 	Ship	1	21	4
Majestic	Ship	6	57	182
Malay	Bark	3	64	3
Malta	Bark	3	21	69
Malta	Schooner	1	17	1
Manchester Packet	Ship	6	162	7
Manuel Ortiz	Bark	3	31	66
Marcella	Bark	15	172	202
March	Brig	10	66	140
Marcia 	Schooner	1	14	1
Marcia	Schooner	1	8	1
Marcia	Ship	6	63	150
Marcus	Schooner	2	45	0
Marcus	Ship	4	71	27
Marengo	Ship	7	165	111
Margaret Scott	Bark	1	31	37
Margaret Scott	Ship	5	91	70
Margarett	Schr	9	22	122
Maria Theresa	Bark	4	89	0
Maria Theresa	Ship	8	103	206
Maria	Bark	7	40	149
Maria	Ship	9	133	33
Marion	Bark	2	47	30
Mars	Bark	10	203	190
Mars	Ship	1	1	29
